ARACAJU;BELEM;BELO HORIZONTE;BRASILIA;CAMPO GRANDE;CUIABA;CURITIBA;FLORIANOPOLIS;FORTALEZA;GOIANIA;JOAO PESSOA;MACEIO;MANAUS;NATAL;PORTO ALEGRE;PORTO VELHO;RECIFE;RIO BRANCO;RIO DE JANEIRO;SALVADOR;SAO LUIS;SAO PAULO;TERESINA;VITORIA
0;2079;1578;1652;2765;2775;2595;2892;1183;1848;611;294;5215;788;3296;4230;501;4763;1855;356;1578;2187;1142;1408
2079;0;2824;2120;2942;2941;3193;3500;1610;2017;2161;2173;5298;2108;3852;4397;2074;4931;3250;2100;806;2933;947;3108
